,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
102,13,13,2014-11-28,,CHI,L,102,109,103.1,110.2,98.9,.315,.239,.487,44.7,54.1,7.1,2.7,,.435,11.0,26.1,.239,,.439,10.9,62.5,.333
103,14,14,2014-11-30,,SAS,L,89,111,94.0,117.3,94.6,.172,.207,.475,48.3,58.3,5.3,8.5,,.448,13.8,25.5,.126,,.547,13.0,75.0,.212
104,15,15,2014-12-02,@,ATL,L,105,109,106.2,110.2,98.9,.155,.274,.585,57.5,80.5,10.1,5.2,,.560,19.0,25.0,.131,,.591,15.4,89.2,.146
105,16,16,2014-12-03,,DET,W,109,102,103.5,96.8,95.4,.290,.323,.520,47.1,75.7,7.6,8.0,,.468,10.3,17.0,.237,,.402,8.7,71.9,.196
106,17,17,2014-12-05,,LAL,W,113,96,109.2,92.8,103.5,.244,.222,.567,58.7,63.0,5.8,2.6,,.556,13.8,24.4,.144,,.446,10.7,86.3,.152
107,18,18,2014-12-07,,WAS,W,101,93,98.7,90.9,102.3,.295,.193,.508,48.5,55.6,9.8,10.6,,.455,13.1,20.0,.239,,.425,15.7,71.4,.151
108,19,19,2014-12-08,@,WAS,L,132,133,112.7,113.6,96.9,.314,.216,.569,48.4,57.4,14.5,5.1,,.505,12.8,26.9,.284,,.559,17.4,74.4,.298
109,20,20,2014-12-10,@,CHO,L,87,96,89.1,98.3,97.7,.115,.264,.476,50.6,68.4,3.1,1.4,,.466,13.3,14.0,.069,,.435,9.4,84.8,.274
110,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
111,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
112,21,21,2014-12-12,,NYK,L,95,101,103.7,110.2,91.7,.212,.259,.511,50.6,75.7,3.3,4.6,,.476,15.5,29.3,.165,,.531,12.8,72.5,.185
113,22,22,2014-12-15,@,PHI,W,105,87,100.7,83.4,104.3,.407,.291,.518,52.0,68.4,14.4,7.7,,.477,17.8,33.3,.267,,.376,17.7,69.2,.183
114,23,23,2014-12-17,,ORL,W,109,92,118.1,99.7,92.3,.225,.238,.620,53.8,56.8,9.7,12.1,,.594,13.7,21.2,.175,,.465,11.6,77.8,.153
115,24,24,2014-12-19,,MIN,W,114,98,123.8,106.4,92.1,.165,.271,.625,53.8,60.4,9.8,7.4,,.612,12.5,35.3,.118,,.484,11.5,67.4,.086
116,25,25,2014-12-21,@,MIA,L,84,100,95.3,113.4,88.2,.181,.277,.469,52.5,66.7,6.8,7.0,,.434,14.3,30.4,.145,,.513,8.2,82.4,.256
117,26,26,2014-12-23,@,ORL,L,95,100,96.7,101.8,98.2,.341,.271,.486,50.0,66.7,10.2,6.2,,.429,10.9,19.1,.259,,.512,13.1,83.7,.181
118,27,27,2014-12-26,,BRK,L,107,109,109.6,111.7,97.6,.126,.276,.583,46.3,71.1,8.2,4.8,,.569,13.2,14.3,.092,,.536,13.6,71.1,.241
119,28,28,2014-12-27,@,WAS,L,88,101,88.7,101.9,99.2,.304,.304,.491,42.9,53.1,10.1,2.6,,.443,16.7,17.0,.228,,.528,16.0,75.7,.067
120,29,29,2014-12-31,,SAC,W,106,84,105.2,83.3,100.8,.160,.223,.527,51.6,72.7,8.9,9.7,,.495,9.9,20.5,.138,,.379,13.9,78.4,.207
121,30,30,2015-01-02,,DAL,L,101,119,105.2,123.9,96.0,.213,.382,.519,42.2,57.9,6.2,2.9,,.494,11.0,20.0,.146,,.536,9.6,64.4,.167
122,31,31,2015-01-03,@,CHI,L,104,109,96.3,101.0,97.8,.110,.170,.496,43.3,57.8,8.3,8.3,,.475,16.0,22.2,.090,,.400,12.0,59.3,.290
123,32,32,2015-01-05,,CHO,L,95,104,105.0,115.0,90.5,.253,.198,.470,40.7,61.1,8.8,11.9,,.434,5.6,21.7,.176,,.526,14.5,65.7,.282
124,33,33,2015-01-07,@,BRK,W,89,81,100.5,91.5,88.5,.193,.205,.466,45.1,62.9,9.0,3.3,,.426,5.9,22.0,.159,,.426,16.6,73.2,.243
125,34,34,2015-01-09,@,IND,L,103,107,100.0,103.9,93.3,.155,.330,.468,47.2,61.0,9.7,10.1,,.447,8.3,24.5,.107,,.418,13.0,69.8,.326
